Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.73149E-4,34.281865534,0.330834454,0.054768555,0.272727273,0
3.77055E-4,34.507382883,0.333143929,0.054169992,0.272727273,0
3.81437E-4,34.773585619,0.335715679,0.053471668,0.272727273,0
3.83574E-4,35.002998353,0.336963024,0.052873105,0.272727273,0
3.88995E-4,35.274343546,0.34010541,0.052174781,0.295454545,0
3.92189E-4,35.508918199,0.34194326,0.051576217,0.295454545,0
3.95683E-4,35.784986894,0.343941483,0.050877893,0.295454545,0
4.00663E-4,36.024684301,0.346769232,0.05027933,0.295454545,0
4.04374E-4,36.266160084,0.348860529,0.049680766,0.295454545,0
4.06367E-4,36.509526628,0.349978312,0.049082203,0.295454545,0
4.10128E-4,36.755329455,0.35207733,0.048483639,0.295454545,0
4.15651E-4,37.003139059,0.355134574,0.047885076,0.303030303,0
4.20205E-4,37.254023807,0.35763404,0.047286512,0.303030303,0
4.24285E-4,37.507776693,0.359856802,0.046687949,0.303030303,0
4.28332E-4,37.764093544,0.362046392,0.046089385,0.303030303,0
4.35089E-4,38.023581377,0.365669582,0.045490822,0.303030303,0
4.38491E-4,38.285854807,0.367478057,0.044892259,0.303030303,0
4.46223E-4,38.507824966,0.371550508,0.044393456,0.310606061,0
4.50376E-4,38.776282043,0.373716053,0.043794892,0.318181818,0
4.55734E-4,39.002631792,0.376488038,0.043296089,0.318181818,0
4.61807E-4,39.278486198,0.379600726,0.042697526,0.318181818,0
4.65487E-4,39.510350516,0.381471431,0.042198723,0.318181818,0
4.69205E-4,39.790790279,0.383350473,0.04160016,0.318181818,0
4.7285E-4,40.026452403,0.385181635,0.041101357,0.325757576,0
4.74953E-4,40.263502915,0.386232829,0.040602554,0.325757576,0
4.79289E-4,40.502238719,0.388389566,0.040103751,0.325757576,0
4.85647E-4,40.792328072,0.391524619,0.039505188,0.325757576,0
4.9069E-4,41.036570992,0.393988494,0.039006385,0.333333333,0
4.97643E-4,41.284788258,0.397352849,0.038507582,0.333333333,0
5.00038E-4,41.53432663,0.398502822,0.038008779,0.340909091,0
5.05699E-4,41.786399809,0.40120468,0.037509976,0.340909091,0
5.10833E-4,42.040681807,0.40363376,0.037011173,0.340909091,0
5.14878E-4,42.297148051,0.405533561,0.03651237,0.340909091,0
5.20039E-4,42.504198182,0.407940358,0.036113328,0.340909091,0
5.23744E-4,42.76491037,0.409656062,0.035614525,0.340909091,0
5.26929E-4,43.027668955,0.411123202,0.035115722,0.348484848,0
5.3045E-4,43.292124085,0.412736423,0.034616919,0.348484848,0
5.39151E-4,43.506177867,0.41668556,0.034217877,0.356060606,0
5.42373E-4,43.776535936,0.418134457,0.033719074,0.363636364,0
5.44075E-4,44.048219301,0.418897031,0.033220271,0.363636364,0
5.50673E-4,44.267433727,0.421833785,0.032821229,0.363636364,0
5.59803E-4,44.544930551,0.425849572,0.032322426,0.363636364,0
5.61218E-4,44.769173852,0.426466675,0.031923384,0.363636364,0
5.68506E-4,45.051642811,0.429625474,0.031424581,0.363636364,0
5.76866E-4,45.281228143,0.433206519,0.031025539,0.363636364,0
5.83726E-4,45.513467144,0.436111234,0.030626496,0.363636364,0
5.86021E-4,45.805929518,0.437076597,0.030127694,0.371212121,0
5.9281E-4,46.041789235,0.439912692,0.029728651,0.371212121,0
5.98314E-4,46.280175122,0.442191079,0.029329609,0.371212121,0
6.0538E-4,46.521064592,0.445088939,0.028930567,0.371212121,0
6.1744E-4,46.766538158,0.449965967,0.028531524,0.378787879,0
6.2477E-4,47.015915042,0.452888418,0.028132482,0.378787879,0
6.27546E-4,47.266513421,0.453987222,0.02773344,0.378787879,0
6.31546E-4,47.51838502,0.455562454,0.027334397,0.378787879,0
6.37514E-4,47.772648845,0.457896177,0.026935355,0.378787879,0
6.43487E-4,48.029067726,0.460212189,0.026536313,0.378787879,0
6.49144E-4,48.287509882,0.46238699,0.026137271,0.378787879,0
6.54129E-4,48.548216319,0.464289235,0.025738228,0.378787879,0
